ID        alpha     delta          x         y         v         ev        bv        ebv       ub        eub       vi        evi
224       250.159096-43.325072   531.707   683.688    15.067     0.004     0.691     0.005     INDEF     INDEF     0.968     0.004
225       249.958512-43.256721  1851.600    71.002    15.080     0.004     0.778     0.006     INDEF     INDEF     1.147     0.006
226       250.048983-43.417497  1256.280  1512.160    15.090     0.002     0.726     0.002     INDEF     INDEF     0.998     0.003
227       250.094264-43.280165   958.321   281.145    15.119     0.002     0.749     0.004     0.455     0.015     1.113     0.003
228       250.122446-43.278167   772.877   263.240    15.128     0.002     0.774     0.004     0.211     0.013     1.119     0.002
229       249.967579-43.349630  1791.940   903.816    15.130     0.003     0.889     0.003     0.347     0.014     1.236     0.003
230       250.091567-43.298983   976.070   449.826    15.132     0.002     0.863     0.003     INDEF     INDEF     1.167     0.003
231       250.157199-43.307913   544.195   529.873    15.137     0.011     0.992     0.010     INDEF     INDEF     1.318     0.014
232       249.979642-43.413980  1712.560  1480.640    15.141     0.001     0.909     0.002     INDEF     INDEF     1.275     0.002
233       250.111822-43.352962   842.788   933.689    15.149     0.003     0.763     0.003     0.497     0.004     1.047     0.003
234       249.984674-43.394401  1679.450  1305.140    15.165     0.002     0.993     0.002     0.599     0.021     1.224     0.002
235       250.177111-43.344875   413.169   861.198    15.185     0.002     1.019     0.003     INDEF     INDEF     1.340     0.003
236       250.054536-43.460826  1219.740  1900.560    15.187     0.002     1.184     0.004     INDEF     INDEF     1.646     0.006
237       249.987192-43.392207  1662.880  1285.470    15.189     0.002     0.759     0.002     0.371     0.014     1.074     0.003
238       250.041214-43.468427  1307.400  1968.690    15.201     0.002     0.902     0.004     INDEF     INDEF     1.293     0.004
239       250.152037-43.266748   578.161   160.884    15.202     0.003     0.994     0.004     INDEF     INDEF     1.325     0.004
240       250.053007-43.372682  1229.800  1110.450    15.210     0.002     0.773     0.003     0.438     0.014     1.015     0.003
241       250.054778-43.427608  1218.150  1602.800    15.212     0.002     0.980     0.003     INDEF     INDEF     1.360     0.003
